{'loss': 1.9695, 'learning_rate': 2.9999999999999997e-06, 'epoch': 0.0}
{'loss': 2.1797, 'learning_rate': 5.999999999999999e-06, 'epoch': 0.01}
{'loss': 1.7143, 'learning_rate': 8.999999999999999e-06, 'epoch': 0.01}
{'loss': 1.977, 'learning_rate': 1.1999999999999999e-05, 'epoch': 0.01}
{'loss': 2.4585, 'learning_rate': 1.4999999999999999e-05, 'epoch': 0.02}
{'loss': 2.0531, 'learning_rate': 1.7999999999999997e-05, 'epoch': 0.02}
{'loss': 2.5199, 'learning_rate': 2.1e-05, 'epoch': 0.03}
{'loss': 2.1506, 'learning_rate': 2.3999999999999997e-05, 'epoch': 0.03}
{'loss': 2.3521, 'learning_rate': 2.6999999999999996e-05, 'epoch': 0.03}
{'loss': 1.927, 'learning_rate': 2.9999999999999997e-05, 'epoch': 0.04}
{'loss': 2.5936, 'learning_rate': 3.2999999999999996e-05, 'epoch': 0.04}
{'loss': 1.9837, 'learning_rate': 3.5999999999999994e-05, 'epoch': 0.04}
{'loss': 2.3227, 'learning_rate': 3.9e-05, 'epoch': 0.05}
{'loss': 2.4764, 'learning_rate': 4.2e-05, 'epoch': 0.05}
{'loss': 2.2756, 'learning_rate': 4.4999999999999996e-05, 'epoch': 0.05}
{'loss': 2.3016, 'learning_rate': 4.7999999999999994e-05, 'epoch': 0.06}
{'loss': 2.2236, 'learning_rate': 5.1e-05, 'epoch': 0.06}
{'loss': 2.0224, 'learning_rate': 5.399999999999999e-05, 'epoch': 0.07}
{'loss': 2.1635, 'learning_rate': 5.6999999999999996e-05, 'epoch': 0.07}
{'loss': 1.9669, 'learning_rate': 5.9999999999999995e-05, 'epoch': 0.07}
{'loss': 2.1839, 'learning_rate': 6.299999999999999e-05, 'epoch': 0.08}
{'loss': 2.3121, 'learning_rate': 6.599999999999999e-05, 'epoch': 0.08}
{'loss': 2.6662, 'learning_rate': 6.9e-05, 'epoch': 0.08}
{'loss': 2.4736, 'learning_rate': 7.199999999999999e-05, 'epoch': 0.09}
{'loss': 2.1389, 'learning_rate': 7.5e-05, 'epoch': 0.09}
{'loss': 1.5366, 'learning_rate': 7.8e-05, 'epoch': 0.09}
{'loss': 2.1752, 'learning_rate': 8.1e-05, 'epoch': 0.1}
{'loss': 1.7778, 'learning_rate': 8.4e-05, 'epoch': 0.1}
{'loss': 1.9626, 'learning_rate': 8.699999999999999e-05, 'epoch': 0.1}
{'loss': 1.8116, 'learning_rate': 8.999999999999999e-05, 'epoch': 0.11}
